,2017,2018,2019,2020,2021,2022,2023
Spring_Spring,361,745,290,333,98,226,742
Per2_Fall,206,716,269,312,259,798,234
MO_below_Fall,96,444,75,190,97,80,46
Per3_Fall,302,387,56,83,296,0,379
MO_above_Fall,0,0,0,213,573,145,161
PF4_Fall,0,0,133,0,0,0,70
,965,2292,823,1131,1323,1249,1632
